#,Company Name,Job Title,Category,Application Link,Platform,Date Applied,Status,Salary,Resume Version Used,Cover Letter Version Used,Recruiter Information,Notes
1,The Elite Job,Remote Presentation Designer - PowerPoint Expert,PowerPoint,https://theelitejob.com/job/16063/remote-presentation-designer-powerpoint-expert-needed,Company Career Page,,Ready to apply,$20-$30/hr,TheEliteJob_RemotePresentationDesignerPowerPointExpe_CustomResume.pdf,TheEliteJob_RemotePresentationDesignerPowerPointExpe_CoverLetter.pdf,See listing / company page,Portfolio + 3 PPT samples required; NG explicitly listed as eligible country.
2,Cella (Randstad Digital),PPT Presentation Designer (Remote),PowerPoint,https://hugin.cellainc.com/jobs/detail/ppt-presentation-designer-remote/1043220/,Company Career Page,,Ready to apply,$40-$43/hr,CellaRandstadDigital_PPTPresentationDesignerRemote_CustomResume.pdf,CellaRandstadDigital_PPTPresentationDesignerRemote_CoverLetter.pdf,See listing / company page,Contract; PowerPoint + VBA a plus. Note: US EST overlap requested.
3,Team Red Dog,PowerPoint Presentation Designer,PowerPoint,https://www.ziprecruiter.com/Jobs/Remote-Presentation-Designer,ZipRecruiter,,Ready to apply,$31-$106/hr,TeamRedDog_PowerPointPresentationDesigner_CustomResume.pdf,TeamRedDog_PowerPointPresentationDesigner_CoverLetter.pdf,See listing / company page,Early-career PPT designer; client is AI creativity company.
4,Tzumi Electronics,Freelance PowerPoint Designer,PowerPoint,https://www.ziprecruiter.com/Jobs/Remote-Powerpoint-Presentation-Designer,ZipRecruiter,,Ready to apply,$31-$62/hr,TzumiElectronics_FreelancePowerPointDesigner_CustomResume.pdf,TzumiElectronics_FreelancePowerPointDesigner_CoverLetter.pdf,See listing / company page,5+ yrs PPT templates & data-driven slides.
5,GhostRanch Communications,Senior Presentation Designer,PowerPoint,https://www.simplyhired.com/search?q=powerpoint+presentation+designer&l=remote,SimplyHired,,Ready to apply,$60k-$80k/yr,GhostRanchCommunications_SeniorPresentationDesigner_CustomResume.pdf,GhostRanchCommunications_SeniorPresentationDesigner_CoverLetter.pdf,See listing / company page,Full-time presentation design.
6,R Circle,"Remote PowerPoint Specialist (Contract, 10-20 hrs/wk)",PowerPoint,https://simplyhired.com/search?l=remote&q=presentation+designer+powerpoint,SimplyHired,,Ready to apply,$22-$35/hr,RCircle_RemotePowerPointSpecialistContract1020hr_CustomResume.pdf,RCircle_RemotePowerPointSpecialistContract1020hr_CoverLetter.pdf,See listing / company page,"Part-time contract, 1 yr exp; good entry fit."
7,Avalere Health,Presentation Designer,PowerPoint,https://simplyhired.com/search?l=remote&q=presentation+designer+powerpoint,SimplyHired,,Ready to apply,$75-$90/hr,AvalereHealth_PresentationDesigner_CustomResume.pdf,AvalereHealth_PresentationDesigner_CoverLetter.pdf,See listing / company page,"Mid-level, quick apply."
8,Unbridled,Contract Presentation Designer,PowerPoint,https://simplyhired.com/search?l=remote&q=presentation+designer+powerpoint,SimplyHired,,Ready to apply,$85-$105/hr,Unbridled_ContractPresentationDesigner_CustomResume.pdf,Unbridled_ContractPresentationDesigner_CoverLetter.pdf,See listing / company page,Contract; senior.
9,Beverly Hills Aesthetic Practice,Freelance PowerPoint Presentation Designer,PowerPoint,https://www.indeed.com/q-presentation-designer-remote-jobs.html,Indeed,,Ready to apply,$35/hr,BeverlyHillsAestheticPractice_FreelancePowerPointPresentationDesigner_CustomResume.pdf,BeverlyHillsAestheticPractice_FreelancePowerPointPresentationDesigner_CoverLetter.pdf,See listing / company page,"Medical conference decks, AI-enhanced educational content."
10,Cyclotron,Content Designer: Corporate Presentations & Videos,PowerPoint,"https://www.glassdoor.com/Job/powerpoint-designer-Remote-SRCH_KO0,19_IL.20,26_IS11047.htm",Glassdoor,,Ready to apply,$85k-$110k/yr,Cyclotron_ContentDesignerCorporatePresentationsVid_CustomResume.pdf,Cyclotron_ContentDesignerCorporatePresentationsVid_CoverLetter.pdf,See listing / company page,Visual storytelling + presentations.
